"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2095","User login with wrong email or password","LMS system","Sun May 03 21:03:24 UTC 2026","passed","Sun May 03 21:03:26 UTC 2026","Authorization","Authentication","",""
"","1814","Registration with correct email, username and password","LMS system","Sun May 03 21:03:28 UTC 2026","passed","Sun May 03 21:03:29 UTC 2026","Registration","Authentication","",""
"","1950","Check displaying of dashboard page","LMS system","Sun May 03 21:03:35 UTC 2026","passed","Sun May 03 21:03:36 UTC 2026","Dashboard","Dashboard","",""
"","2210","User login with wrong email or password","LMS system","Sun May 03 21:03:21 UTC 2026","passed","Sun May 03 21:03:23 UTC 2026","Authorization","Authentication","",""
"","3671","Edit course","LMS system","Sun May 03 21:03:32 UTC 2026","passed","Sun May 03 21:03:35 UTC 2026","Courses","Courses","",""
"","1639","Check displaying of empty courses list","LMS system","Sun May 03 21:03:30 UTC 2026","passed","Sun May 03 21:03:31 UTC 2026","Courses","Courses","",""
"","1776","Navigation from login page to registration page","LMS system","Sun May 03 21:03:26 UTC 2026","passed","Sun May 03 21:03:28 UTC 2026","Authorization","Authentication","",""
"","3593","User login with correct email and password","LMS system","Sun May 03 21:03:24 UTC 2026","passed","Sun May 03 21:03:27 UTC 2026","Authorization","Authentication","",""
"","2164","User login with wrong email or password","LMS system","Sun May 03 21:03:21 UTC 2026","passed","Sun May 03 21:03:23 UTC 2026","Authorization","Authentication","",""
"","2702","Create course","LMS system","Sun May 03 21:03:31 UTC 2026","passed","Sun May 03 21:03:34 UTC 2026","Courses","Courses","",""
